"","parity","species","lat","lon","elev","topt_a","ctmin_a","ctmax_a","source","za","ze","n","source_lh","activity","substrate","biome","eggs_seen","hatchlings_seen","breed_ref","breed_other_species","nest_depth","nest_shade","nest_ref"
"71","Viviparous","Phrynosoma_hernandesi",31.952,-104.849,2290,35,2.75,43.5,"dg",15.49,0.85,18,"dg","Diurnal","Terrestrial","Deserts & Xeric Shrublands",4,8,22,"",NA,NA,NA
"72","Viviparous","Phrynosoma_orbiculare",20.064,-98.201,2502,31.4,4.5,37.8,"dg",12.88,0.91,12.65,"dg","Diurnal","Terrestrial","Tropical & Subtropical Coniferous Forests",8,4,20,"",NA,NA,NA
"73","Viviparous","Phrynosoma_sherbrookei",17.552,-99.269,1997,36.5,12,43.1,"dg",9,0.96,5.5,"dg","Diurnal","Terrestrial","Tropical & Subtropical Coniferous Forests",3,8,20,"Phrynosoma_taurus",NA,NA,NA
"74","Viviparous","Phrynosoma_taurus",17.627,-99.526,1200,34.4,12.3,44,"dg",18.03,0.88,11.33,"dg","Diurnal","Terrestrial","Tropical & Subtropical Dry Broadleaf Forests",3,8,20,"",NA,NA,NA
"75","Viviparous","Pseudemoia_entrecasteauxii",-36.4,148.4,1846,33.2,2.5,42.8,"b",2.90763996945648,0.225670661121403,3.1,"sb","Diurnal","Terrestrial","Temperate Broadleaf & Mixed Forests",10,3,26,"",NA,NA,NA
"76","Viviparous","Pseudemoia_entrecasteauxii",-36.4,148.4,1846,32.7,2.5,42.8,"b",2.90763996945648,0.225670661121403,3.1,"sb","Diurnal","Terrestrial","Temperate Broadleaf & Mixed Forests",10,3,26,"",NA,NA,NA
"77","Viviparous","Sceloporus_bicanthalis",19.12,-99.747,4151,34.2,12.6,41.5,"dg",3.06,0.19,7.21,"dg","Diurnal","Terrestrial","Tropical & Subtropical Coniferous Forests",4,11,28,"",NA,NA,NA
"78","Viviparous","Sceloporus_cyanogenys",25.604,-100.35,1283,30.3,10.8,39.6,"dg",37.15,1.12,13.15,"dg","Diurnal","Saxicolous&Terrestrial","Deserts & Xeric Shrublands",1,4,33,"",NA,NA,NA
"79","Viviparous","Sceloporus_druckercolini",17.65,-100.523,2486,33.6,13.1,42.5,"dg",17.25,0.85,9.5,"dg","Diurnal","Arboreal","Tropical & Subtropical Coniferous Forests",9,5,34,"Sceloporus_formosus",NA,NA,NA
"80","Viviparous","Sceloporus_grammicus",19.318,-99.194,2320,33.1,10,39.9,"dg",4.9,0.48,4.755,"dg","Diurnal","Arboreal&Saxicolous","Deserts & Xeric Shrublands",9,10,10,"",NA,NA,NA
"81","Viviparous","Sceloporus_jarrovii",25.735,-103.676,1312,32.1,14.6,39.5,"dg",12.88,1.1,6.7,"dg","Diurnal","Saxicolous","Deserts & Xeric Shrublands",1,7,37,"",NA,NA,NA
"82","Viviparous","Sceloporus_macdougalli",16.032,-95.42,50,28.2,11.7,39.1,"dg",13.3,1.29,2.33,"dg","Diurnal","Saxicolous","Tropical & Subtropical Dry Broadleaf Forests",12,5,38,"",NA,NA,NA
"83","Viviparous","Sceloporus_malachiticus",10.3,-84.8,1535,36.3,9.7,42.8,"b",12.3,1.05,5.25,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Tropical & Subtropical Coniferous Forests",10,3,40,"",NA,NA,NA
"84","Viviparous","Sceloporus_megalepidurus",19.76,-97.604,2413,33.8,9,39.2,"dg",4.03895146076624,0.595773551871317,2,"sb","Diurnal","Terrestrial","Deserts & Xeric Shrublands",10,4,41,"",NA,NA,NA
"85","Viviparous","Sceloporus_minor",20.874,-99.2241,2537,32.6,9.6,37.2,"dg",7.73,0.69,4.56,"dg","Diurnal","Saxicolous","Deserts & Xeric Shrublands",7,10,10,"",NA,NA,NA
"86","Viviparous","Sceloporus_mucronatus",19.208,-99.277,3508,34,5.9,37.6,"dg",18.62,1,4.69,"dg","Diurnal","Saxicolous","Tropical & Subtropical Coniferous Forests",4,8,43,"",NA,NA,NA
"87","Viviparous","Sceloporus_omiltemanus",17.592,-99.815,2371,31.9,8.9,35.2,"dg",18.62,1.1,6.245,"dg","Diurnal","Arboreal&Saxicolous","Tropical & Subtropical Coniferous Forests",11,2,46,"",NA,NA,NA
"88","Viviparous","Sceloporus_palaciosi",19.265,-99.298,3168,33.7,8.8,39.4,"dg",4.54705946950909,0.856808275562768,4,"sb","Diurnal","Arboreal&Terrestrial","Tropical & Subtropical Coniferous Forests",1,12,48,"",NA,NA,NA
"89","Viviparous","Sceloporus_scitulus",17.592,-99.815,2371,30.9,7.4,37.6,"dg",10.1228227457689,1.3720667955402,6,"sb","Diurnal","Arboreal&Saxicolous","Tropical & Subtropical Coniferous Forests",4,8,43,"Sceloporus_mucronatus",NA,NA,NA
"90","Viviparous","Sceloporus_torquatus",19.318,-99.194,2320,33.2,8.8,39.2,"dg",24.55,1.07,8.05,"dg","Diurnal","Saxicolous","Deserts & Xeric Shrublands",10,5,52,"",NA,NA,NA
"91","Viviparous","Xantusia_riversiana",32.9,-118.5,349,29,6.6,39,"b",11.3798905074859,0.619009242996608,3.3,"sb","Diurnal","Saxicolous&Terrestrial","Mediterranean",3,11,64,"",NA,NA,NA
"92","Viviparous","Xantusia_vigilis",33.9,-116.4,383,31.7,6.9,41.6,"b",1.43241523449812,0.197562417190313,1.78,"sb","Cathemeral","Arboreal&Saxicolous&Terrestrial","Deserts & Xeric Shrublands",4,8,65,"",NA,NA,NA
